PolicyNumber,Make,Sex,MaritalStatus,Age,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,AgentType,AddressChange-Claim,BasePolicy
5818,Honda,Male,Married,41,Sedan - All Perils,Sedan,"30,000 to 39,000",7,400,1,none,7 years,36 to 40,External,4 to 8 years,All Perils
5819,Toyota,Male,Married,61,Sedan - All Perils,Sedan,"20,000 to 29,000",3,400,2,none,more than 7,51 to 65,External,no change,All Perils
5820,Mazda,Male,Married,37,Sedan - Collision,Sedan,"20,000 to 29,000",4,400,2,2 to 4,7 years,36 to 40,External,no change,Collision
5821,Chevrolet,Male,Single,34,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,2,1,6 years,31 to 35,External,no change,Collision
5822,Honda,Male,Married,33,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,1,2 to 4,7 years,31 to 35,External,no change,Collision
5823,Mazda,Male,Married,39,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,2,none,7 years,36 to 40,External,no change,Collision
5824,Pontiac,Male,Married,50,Sedan - All Perils,Sedan,"less than 20,000",9,400,1,1,more than 7,41 to 50,External,no change,All Perils
5825,Pontiac,Female,Single,38,Sedan - Collision,Sedan,"20,000 to 29,000",15,400,4,none,6 years,36 to 40,External,1 year,Collision
5826,Toyota,Male,Single,45,Sedan - Liability,Sport,"30,000 to 39,000",13,400,4,more than 4,7 years,36 to 40,External,no change,Liability
5827,Pontiac,Male,Married,36,Sedan - Liability,Sport,"30,000 to 39,000",8,400,2,more than 4,7 years,36 to 40,External,no change,Liability
5828,Pontiac,Male,Married,23,Sedan - Collision,Sedan,"20,000 to 29,000",11,400,2,1,4 years,26 to 30,External,no change,Collision
5829,Honda,Male,Single,24,Sedan - Liability,Sport,"20,000 to 29,000",11,400,3,1,5 years,26 to 30,External,no change,Liability
5830,Honda,Male,Single,17,Sedan - All Perils,Sedan,"less than 20,000",10,400,1,none,more than 7,16 to 17,External,no change,All Perils
5831,Toyota,Female,Single,31,Sedan - Liability,Sport,"20,000 to 29,000",7,400,3,1,4 years,31 to 35,External,no change,Liability
5832,Pontiac,Male,Single,43,Sedan - All Perils,Sedan,"20,000 to 29,000",14,400,3,2 to 4,7 years,36 to 40,External,no change,All Perils
5833,Pontiac,Male,Married,32,Sedan - All Perils,Sedan,"20,000 to 29,000",2,400,3,1,6 years,31 to 35,External,no change,All Perils
5834,Pontiac,Male,Single,34,Sedan - Collision,Sedan,"30,000 to 39,000",7,400,3,2 to 4,6 years,31 to 35,External,no change,Collision
5835,VW,Male,Married,58,Sedan - Liability,Sport,"20,000 to 29,000",2,400,3,2 to 4,7 years,51 to 65,External,no change,Liability
5836,Honda,Male,Married,59,Sport - Collision,Sport,"more than 69,000",12,400,2,none,more than 7,51 to 65,External,no change,Collision
5837,Toyota,Male,Married,77,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,4,1,more than 7,over 65,External,no change,Collision
5838,Toyota,Female,Married,47,Sedan - Collision,Sedan,"30,000 to 39,000",2,400,2,more than 4,more than 7,41 to 50,External,no change,Collision
5839,Saab,Male,Single,39,Sedan - Collision,Sedan,"30,000 to 39,000",16,400,2,2 to 4,7 years,36 to 40,External,4 to 8 years,Collision
5840,Toyota,Male,Single,55,Sedan - All Perils,Sedan,"less than 20,000",9,400,2,none,more than 7,41 to 50,External,no change,All Perils
5841,Mazda,Male,Married,51,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,4,none,7 years,41 to 50,External,no change,Collision
5842,Pontiac,Male,Single,25,Sedan - All Perils,Sedan,"20,000 to 29,000",4,400,1,1,3 years,26 to 30,External,no change,All Perils
5843,Pontiac,Male,Married,36,Utility - All Perils,Utility,"40,000 to 59,000",3,400,3,more than 4,6 years,36 to 40,External,no change,All Perils
5844,Toyota,Male,Single,26,Sedan - Liability,Sport,"20,000 to 29,000",15,400,1,2 to 4,5 years,31 to 35,External,no change,Liability
5845,Pontiac,Male,Married,41,Sedan - All Perils,Sedan,"20,000 to 29,000",7,400,4,1,more than 7,36 to 40,External,no change,All Perils
5846,Toyota,Male,Married,34,Sedan - Liability,Sport,"30,000 to 39,000",16,400,1,2 to 4,7 years,31 to 35,External,no change,Liability
5847,Pontiac,Male,Married,60,Sedan - All Perils,Sedan,"20,000 to 29,000",13,400,4,more than 4,more than 7,51 to 65,External,no change,All Perils
5848,Pontiac,Male,Married,52,Sedan - All Perils,Sedan,"20,000 to 29,000",9,400,3,none,more than 7,41 to 50,External,no change,All Perils
5849,Mazda,Male,Single,30,Sedan - Collision,Sedan,"20,000 to 29,000",14,400,2,2 to 4,7 years,31 to 35,External,no change,Collision
5850,Pontiac,Female,Single,51,Sedan - Liability,Sport,"more than 69,000",8,400,3,more than 4,more than 7,41 to 50,External,no change,Liability
5851,Mazda,Male,Married,30,Sedan - Liability,Sport,"30,000 to 39,000",13,400,1,2 to 4,6 years,31 to 35,External,no change,Liability
5852,Pontiac,Male,Married,49,Sedan - Collision,Sedan,"20,000 to 29,000",13,400,2,2 to 4,more than 7,41 to 50,External,no change,Collision
5853,Pontiac,Female,Single,31,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,2,more than 4,6 years,31 to 35,External,no change,Collision
5854,Honda,Male,Married,33,Sedan - Liability,Sport,"20,000 to 29,000",6,400,1,more than 4,6 years,31 to 35,External,no change,Liability
5855,Honda,Male,Married,30,Sedan - Liability,Sport,"30,000 to 39,000",11,400,1,more than 4,5 years,31 to 35,External,no change,Liability
5856,Ford,Female,Single,28,Sedan - Liability,Sport,"30,000 to 39,000",8,400,3,more than 4,6 years,31 to 35,External,no change,Liability
5857,Mazda,Male,Married,30,Sedan - All Perils,Sedan,"less than 20,000",7,400,1,2 to 4,6 years,31 to 35,External,no change,All Perils
5858,Honda,Female,Married,32,Sedan - Collision,Sedan,"20,000 to 29,000",9,400,2,2 to 4,7 years,31 to 35,External,no change,Collision
5859,Mazda,Male,Divorced,37,Sedan - Collision,Sedan,"30,000 to 39,000",16,400,2,2 to 4,7 years,36 to 40,External,no change,Collision
5860,Mazda,Female,Single,22,Sedan - All Perils,Sedan,"20,000 to 29,000",12,400,3,1,5 years,26 to 30,External,4 to 8 years,All Perils
5861,Chevrolet,Male,Married,42,Sedan - Collision,Sedan,"more than 69,000",8,400,4,2 to 4,6 years,36 to 40,External,no change,Collision
5862,Pontiac,Male,Married,29,Sedan - Collision,Sedan,"30,000 to 39,000",12,400,4,2 to 4,7 years,31 to 35,External,no change,Collision
5863,Honda,Male,Married,54,Sedan - Collision,Sedan,"30,000 to 39,000",10,400,3,none,more than 7,41 to 50,External,no change,Collision
5864,Toyota,Male,Married,72,Sedan - All Perils,Sedan,"more than 69,000",15,400,1,2 to 4,7 years,over 65,External,no change,All Perils
5865,Toyota,Male,Single,32,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,1,none,6 years,31 to 35,External,no change,Collision
5866,Toyota,Male,Married,34,Sedan - All Perils,Sedan,"less than 20,000",2,500,2,none,6 years,31 to 35,External,2 to 3 years,All Perils
5867,Toyota,Male,Single,34,Sedan - All Perils,Sedan,"20,000 to 29,000",1,400,2,2 to 4,6 years,31 to 35,External,no change,All Perils
5868,Pontiac,Male,Single,31,Sedan - All Perils,Sedan,"30,000 to 39,000",1,400,3,2 to 4,7 years,31 to 35,External,no change,All Perils
5869,Mazda,Female,Married,48,Sedan - Liability,Sport,"20,000 to 29,000",5,400,3,1,7 years,41 to 50,External,no change,Liability
5870,Pontiac,Male,Single,40,Sedan - All Perils,Sedan,"less than 20,000",3,400,1,none,7 years,36 to 40,External,no change,All Perils
5871,Mazda,Male,Single,28,Sedan - Collision,Sedan,"20,000 to 29,000",14,400,1,more than 4,6 years,31 to 35,External,no change,Collision
5872,Honda,Male,Married,36,Sedan - Collision,Sedan,"30,000 to 39,000",7,400,3,none,7 years,36 to 40,External,no change,Collision
5873,Pontiac,Female,Single,34,Sedan - Liability,Sport,"20,000 to 29,000",3,400,3,none,4 years,31 to 35,External,no change,Liability
5874,Pontiac,Male,Married,50,Sedan - Liability,Sport,"30,000 to 39,000",15,400,3,1,more than 7,41 to 50,External,no change,Liability
5875,Chevrolet,Male,Married,41,Sedan - All Perils,Sedan,"20,000 to 29,000",4,400,1,2 to 4,7 years,36 to 40,External,no change,All Perils
5876,Pontiac,Male,Married,40,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,2,2 to 4,7 years,36 to 40,External,no change,Collision
5877,Mazda,Male,Married,45,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,4,none,7 years,36 to 40,External,no change,Collision
5878,Toyota,Male,Single,28,Sedan - Liability,Sport,"30,000 to 39,000",5,400,1,more than 4,6 years,31 to 35,External,no change,Liability
5879,Chevrolet,Male,Married,45,Sedan - Collision,Sedan,"30,000 to 39,000",10,400,3,none,more than 7,36 to 40,External,no change,Collision
5880,Mazda,Male,Married,35,Sedan - Liability,Sport,"30,000 to 39,000",1,400,3,2 to 4,6 years,31 to 35,External,no change,Liability
5881,Toyota,Male,Married,49,Sedan - Liability,Sport,"30,000 to 39,000",5,400,1,2 to 4,7 years,41 to 50,External,4 to 8 years,Liability
5882,Pontiac,Male,Married,64,Sedan - Liability,Sport,"30,000 to 39,000",3,400,3,more than 4,more than 7,51 to 65,External,no change,Liability
5883,Mazda,Male,Married,40,Sedan - Collision,Sedan,"30,000 to 39,000",7,400,2,1,more than 7,36 to 40,External,no change,Collision
5884,Honda,Male,Single,36,Sedan - All Perils,Sedan,"20,000 to 29,000",7,400,1,2 to 4,7 years,36 to 40,External,no change,All Perils
5885,Accura,Male,Married,28,Sedan - All Perils,Sedan,"20,000 to 29,000",16,400,1,2 to 4,7 years,31 to 35,External,no change,All Perils
5886,Toyota,Female,Married,44,Sedan - Liability,Sport,"20,000 to 29,000",4,400,1,2 to 4,7 years,36 to 40,External,no change,Liability
5887,Mazda,Male,Married,35,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,3,2 to 4,7 years,31 to 35,External,no change,Collision
5888,Pontiac,Male,Single,32,Sedan - Liability,Sport,"20,000 to 29,000",13,400,1,2 to 4,6 years,31 to 35,External,no change,Liability
5889,Honda,Male,Married,50,Sedan - All Perils,Sedan,"30,000 to 39,000",15,400,2,none,more than 7,41 to 50,External,no change,All Perils
5890,Toyota,Male,Single,24,Sedan - All Perils,Sedan,"20,000 to 29,000",6,400,4,none,4 years,26 to 30,External,no change,All Perils
5891,Accura,Male,Married,42,Sedan - Liability,Sport,"30,000 to 39,000",7,700,2,2 to 4,7 years,36 to 40,External,no change,Liability
5892,Chevrolet,Female,Married,48,Sedan - Liability,Sport,"more than 69,000",2,400,4,more than 4,more than 7,41 to 50,External,no change,Liability
5893,Chevrolet,Female,Single,35,Sedan - Liability,Sport,"more than 69,000",9,400,2,2 to 4,3 years,31 to 35,External,no change,Liability
5894,Chevrolet,Male,Married,55,Sedan - Collision,Sedan,"30,000 to 39,000",13,400,4,2 to 4,7 years,41 to 50,External,no change,Collision
5895,Mazda,Male,Single,25,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,1,more than 4,6 years,26 to 30,External,no change,Collision
5896,VW,Male,Married,63,Sedan - Liability,Sport,"more than 69,000",4,400,2,more than 4,more than 7,51 to 65,External,no change,Liability
5897,Honda,Male,Single,58,Sedan - Collision,Sedan,"20,000 to 29,000",16,400,1,none,6 years,51 to 65,External,no change,Collision
5898,Honda,Male,Married,30,Sedan - All Perils,Sedan,"20,000 to 29,000",1,400,2,2 to 4,7 years,31 to 35,External,no change,All Perils
5899,Honda,Male,Single,35,Sport - Collision,Sport,"more than 69,000",3,400,2,none,6 years,31 to 35,External,no change,Collision
5900,Chevrolet,Male,Married,38,Sedan - Collision,Sedan,"30,000 to 39,000",4,400,2,1,7 years,36 to 40,External,no change,Collision
5901,Pontiac,Male,Married,56,Sedan - All Perils,Sedan,"20,000 to 29,000",3,400,4,none,more than 7,51 to 65,External,no change,All Perils
5902,Pontiac,Male,Married,29,Sedan - Liability,Sport,"30,000 to 39,000",9,400,3,1,7 years,31 to 35,External,4 to 8 years,Liability
5903,Mazda,Male,Married,65,Sedan - Collision,Sedan,"more than 69,000",3,400,4,none,more than 7,51 to 65,External,no change,Collision
5904,Pontiac,Male,Married,35,Sedan - All Perils,Sedan,"less than 20,000",1,400,3,1,5 years,31 to 35,External,no change,All Perils
5905,Chevrolet,Female,Married,30,Sedan - Collision,Sedan,"30,000 to 39,000",7,400,4,2 to 4,4 years,31 to 35,External,no change,Collision
5906,Pontiac,Male,Married,32,Sedan - Liability,Sport,"30,000 to 39,000",5,400,2,more than 4,7 years,31 to 35,Internal,no change,Liability
5907,Pontiac,Male,Single,27,Sedan - Liability,Sport,"20,000 to 29,000",13,400,2,2 to 4,6 years,31 to 35,External,no change,Liability
5908,Toyota,Male,Married,34,Sedan - Collision,Sedan,"20,000 to 29,000",8,400,1,2 to 4,6 years,31 to 35,External,no change,Collision
5909,Chevrolet,Male,Married,32,Sedan - All Perils,Sedan,"20,000 to 29,000",6,400,2,1,7 years,31 to 35,External,no change,All Perils
5910,Toyota,Female,Married,35,Sedan - Liability,Sport,"less than 20,000",3,400,4,none,7 years,31 to 35,External,no change,Liability
5911,Mazda,Male,Single,26,Sedan - All Perils,Sedan,"20,000 to 29,000",11,400,4,2 to 4,4 years,31 to 35,External,no change,All Perils
5912,Honda,Male,Single,25,Sedan - Liability,Sport,"20,000 to 29,000",16,400,3,1,5 years,26 to 30,External,no change,Liability
5913,Pontiac,Male,Single,34,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,3,none,6 years,31 to 35,External,no change,Collision
5914,Pontiac,Male,Married,42,Sedan - Collision,Sedan,"20,000 to 29,000",4,400,4,none,7 years,36 to 40,External,no change,Collision
5915,Pontiac,Male,Married,40,Sedan - All Perils,Sedan,"30,000 to 39,000",13,400,1,2 to 4,more than 7,36 to 40,External,no change,All Perils
5916,Ford,Male,Married,62,Sedan - All Perils,Sedan,"20,000 to 29,000",8,400,3,1,more than 7,51 to 65,External,1 year,All Perils
5917,Mazda,Male,Single,30,Sedan - Collision,Sedan,"20,000 to 29,000",14,500,4,more than 4,6 years,31 to 35,External,2 to 3 years,Collision
5918,Chevrolet,Male,Married,60,Sedan - Collision,Sedan,"30,000 to 39,000",9,400,2,none,more than 7,51 to 65,External,no change,Collision
5919,Toyota,Male,Married,41,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,1,1,more than 7,36 to 40,External,no change,Collision
5920,Honda,Male,Married,56,Sedan - Liability,Sport,"20,000 to 29,000",15,400,1,more than 4,more than 7,51 to 65,External,no change,Liability
5921,Pontiac,Male,Married,32,Sedan - Collision,Sedan,"20,000 to 29,000",8,400,4,none,6 years,31 to 35,External,no change,Collision
5922,Toyota,Male,Single,29,Sedan - Collision,Sedan,"20,000 to 29,000",4,400,3,2 to 4,4 years,31 to 35,External,no change,Collision
5923,Toyota,Male,Married,43,Sedan - Collision,Sedan,"more than 69,000",16,400,4,1,7 years,36 to 40,External,4 to 8 years,Collision
5924,Honda,Male,Married,51,Sedan - Liability,Sport,"20,000 to 29,000",6,400,2,1,more than 7,41 to 50,External,no change,Liability
5925,Honda,Male,Married,42,Sedan - Liability,Sport,"20,000 to 29,000",5,400,2,more than 4,more than 7,36 to 40,External,no change,Liability
5926,Accura,Male,Married,28,Sedan - Liability,Sport,"30,000 to 39,000",5,400,3,2 to 4,6 years,31 to 35,External,no change,Liability
5927,Pontiac,Female,Married,47,Sedan - All Perils,Sedan,"30,000 to 39,000",5,400,3,2 to 4,5 years,41 to 50,External,no change,All Perils
5928,Chevrolet,Male,Married,61,Utility - All Perils,Utility,"more than 69,000",9,400,2,1,more than 7,51 to 65,External,no change,All Perils
5929,Honda,Male,Married,59,Sedan - All Perils,Sedan,"20,000 to 29,000",15,400,4,none,more than 7,51 to 65,External,no change,All Perils
5930,Honda,Male,Married,35,Sedan - All Perils,Sedan,"less than 20,000",5,400,3,none,7 years,31 to 35,External,no change,All Perils
5931,Honda,Male,Married,30,Sedan - Liability,Sport,"20,000 to 29,000",9,400,4,1,7 years,31 to 35,External,no change,Liability
5932,Honda,Female,Single,34,Sedan - Liability,Sport,"20,000 to 29,000",16,400,4,2 to 4,6 years,31 to 35,External,no change,Liability
5933,Accura,Male,Married,55,Sedan - Collision,Sedan,"30,000 to 39,000",2,400,2,2 to 4,more than 7,41 to 50,External,no change,Collision
5934,Mazda,Male,Married,26,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,3,more than 4,7 years,31 to 35,External,no change,Collision
5935,Honda,Male,Single,16,Sport - All Perils,Sport,"more than 69,000",11,400,2,none,new,16 to 17,External,no change,All Perils
5936,Chevrolet,Male,Single,35,Sedan - Liability,Sport,"30,000 to 39,000",5,400,2,1,6 years,31 to 35,External,no change,Liability
5937,Mazda,Male,Married,45,Sedan - Liability,Sport,"30,000 to 39,000",11,400,3,2 to 4,6 years,36 to 40,External,no change,Liability
5938,Honda,Male,Married,28,Sedan - Liability,Sport,"20,000 to 29,000",5,400,4,more than 4,7 years,31 to 35,External,no change,Liability
5939,Saab,Female,Widow,21,Sedan - Collision,Sedan,"30,000 to 39,000",15,400,1,1,5 years,26 to 30,External,no change,Collision
5940,Toyota,Male,Married,63,Sedan - All Perils,Sedan,"20,000 to 29,000",15,400,4,none,7 years,51 to 65,External,no change,All Perils
5941,Ford,Male,Married,46,Sedan - Collision,Sedan,"30,000 to 39,000",5,400,1,2 to 4,more than 7,41 to 50,External,no change,Collision
5942,Ford,Male,Married,45,Sedan - Collision,Sedan,"40,000 to 59,000",14,400,1,none,7 years,36 to 40,External,no change,Collision
5943,Chevrolet,Male,Married,51,Sedan - Liability,Sport,"30,000 to 39,000",15,400,3,2 to 4,more than 7,41 to 50,External,no change,Liability
5944,Chevrolet,Female,Single,43,Sedan - Collision,Sedan,"20,000 to 29,000",9,400,2,2 to 4,7 years,36 to 40,External,4 to 8 years,Collision
5945,Honda,Male,Single,35,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,2,more than 4,6 years,31 to 35,External,no change,Collision
5946,Pontiac,Male,Married,45,Sedan - Collision,Sedan,"20,000 to 29,000",9,400,2,none,6 years,36 to 40,External,no change,Collision
5947,Toyota,Female,Single,27,Sedan - All Perils,Sedan,"20,000 to 29,000",4,400,4,1,6 years,31 to 35,External,no change,All Perils
5948,Pontiac,Male,Married,43,Utility - All Perils,Utility,"40,000 to 59,000",9,400,1,more than 4,7 years,36 to 40,External,no change,All Perils
5949,Pontiac,Male,Married,76,Sedan - Liability,Sport,"20,000 to 29,000",16,400,2,none,more than 7,over 65,External,no change,Liability
5950,Mecedes,Female,Single,25,Sedan - Collision,Sedan,"30,000 to 39,000",11,400,3,none,3 years,26 to 30,External,no change,Collision
5951,Chevrolet,Male,Married,44,Utility - Liability,Utility,"more than 69,000",2,400,4,2 to 4,7 years,36 to 40,Internal,no change,Liability
5952,Accura,Male,Married,33,Sedan - Collision,Sedan,"30,000 to 39,000",5,400,1,2 to 4,7 years,31 to 35,External,no change,Collision
5953,Honda,Male,Single,59,Sedan - Collision,Sedan,"20,000 to 29,000",15,700,1,2 to 4,7 years,51 to 65,External,no change,Collision
5954,Chevrolet,Male,Single,35,Sedan - All Perils,Sedan,"20,000 to 29,000",14,400,3,none,6 years,31 to 35,External,no change,All Perils
5955,Honda,Male,Married,71,Sedan - Liability,Sport,"more than 69,000",16,400,3,2 to 4,more than 7,over 65,External,no change,Liability
5956,Pontiac,Male,Single,22,Sedan - All Perils,Sedan,"20,000 to 29,000",15,400,2,1,3 years,26 to 30,External,no change,All Perils
5957,Chevrolet,Male,Married,30,Sedan - Liability,Sport,"30,000 to 39,000",5,400,4,2 to 4,7 years,31 to 35,External,no change,Liability
5958,Pontiac,Male,Married,28,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,4,none,6 years,31 to 35,External,no change,Collision
5959,Pontiac,Male,Married,36,Sedan - Liability,Sport,"30,000 to 39,000",1,400,4,more than 4,7 years,36 to 40,Internal,no change,Liability
5960,Mazda,Male,Single,24,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,3,1,5 years,26 to 30,External,no change,Collision
5961,Mazda,Female,Married,26,Sedan - All Perils,Sedan,"20,000 to 29,000",7,400,4,none,5 years,31 to 35,External,no change,All Perils
5962,Mazda,Male,Married,31,Sedan - Collision,Sedan,"20,000 to 29,000",4,400,4,none,4 years,31 to 35,External,no change,Collision
5963,Pontiac,Male,Married,37,Sedan - Collision,Sedan,"30,000 to 39,000",6,400,4,none,more than 7,36 to 40,External,no change,Collision
5964,Pontiac,Male,Married,47,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,2,2 to 4,more than 7,41 to 50,External,no change,Collision
5965,Mazda,Male,Married,33,Sport - Collision,Sport,"more than 69,000",14,400,2,none,4 years,31 to 35,External,4 to 8 years,Collision
5966,Accura,Female,Married,48,Sedan - Collision,Sedan,"30,000 to 39,000",2,400,1,none,7 years,41 to 50,External,no change,Collision
5967,Pontiac,Male,Married,31,Sedan - Collision,Sedan,"30,000 to 39,000",9,400,4,2 to 4,7 years,31 to 35,External,no change,Collision
5968,Honda,Male,Single,35,Sedan - Collision,Sedan,"20,000 to 29,000",9,500,4,1,6 years,31 to 35,External,2 to 3 years,Collision
5969,Mazda,Male,Married,27,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,1,2 to 4,7 years,31 to 35,External,no change,Collision
5970,Mazda,Female,Married,33,Sedan - All Perils,Sedan,"20,000 to 29,000",5,400,1,none,3 years,31 to 35,External,no change,All Perils
5971,Mazda,Male,Single,26,Sedan - Collision,Sedan,"20,000 to 29,000",16,400,1,2 to 4,7 years,31 to 35,External,no change,Collision
5972,Toyota,Male,Married,37,Sedan - Collision,Sedan,"20,000 to 29,000",15,400,2,1,7 years,36 to 40,External,no change,Collision
5973,Mazda,Male,Married,51,Sedan - All Perils,Sedan,"more than 69,000",2,400,1,1,7 years,41 to 50,External,no change,All Perils
5974,Pontiac,Male,Single,33,Sedan - Liability,Sport,"20,000 to 29,000",6,400,3,1,6 years,31 to 35,External,no change,Liability
5975,Toyota,Male,Married,36,Sedan - All Perils,Sedan,"20,000 to 29,000",15,400,2,none,7 years,36 to 40,External,no change,All Perils
5976,Honda,Male,Single,16,Sedan - Collision,Sedan,"more than 69,000",1,400,4,1,new,16 to 17,External,no change,Collision
5977,Pontiac,Male,Single,30,Sedan - Liability,Sport,"30,000 to 39,000",11,400,2,2 to 4,7 years,31 to 35,External,no change,Liability
5978,Ford,Male,Single,30,Sedan - All Perils,Sedan,"more than 69,000",3,400,3,none,6 years,31 to 35,External,no change,All Perils
5979,Mazda,Male,Married,35,Sedan - All Perils,Sedan,"30,000 to 39,000",12,400,1,none,7 years,31 to 35,External,no change,All Perils
5980,Honda,Male,Single,19,Sport - Collision,Sport,"more than 69,000",6,400,1,none,5 years,21 to 25,External,no change,Collision
5981,Honda,Male,Single,23,Sedan - Collision,Sedan,"20,000 to 29,000",8,400,4,2 to 4,5 years,26 to 30,External,no change,Collision
5982,Chevrolet,Male,Single,44,Sedan - Collision,Sedan,"more than 69,000",2,400,1,2 to 4,6 years,36 to 40,External,no change,Collision
5983,Toyota,Female,Married,32,Sedan - All Perils,Sedan,"20,000 to 29,000",11,400,4,1,7 years,31 to 35,External,no change,All Perils
5984,Toyota,Male,Single,33,Sedan - Collision,Sedan,"30,000 to 39,000",9,700,1,2 to 4,7 years,31 to 35,External,no change,Collision
5985,Honda,Male,Married,45,Sedan - Liability,Sport,"20,000 to 29,000",6,400,3,more than 4,7 years,36 to 40,External,no change,Liability
5986,Mercury,Male,Married,63,Sedan - All Perils,Sedan,"20,000 to 29,000",12,400,1,1,more than 7,51 to 65,External,4 to 8 years,All Perils
5987,Mazda,Female,Divorced,42,Sedan - Liability,Sport,"30,000 to 39,000",16,400,2,2 to 4,6 years,36 to 40,External,no change,Liability
5988,Mercury,Male,Married,46,Utility - All Perils,Utility,"30,000 to 39,000",14,400,3,more than 4,more than 7,41 to 50,External,no change,All Perils
5989,Toyota,Male,Single,23,Sedan - Collision,Sedan,"more than 69,000",8,400,2,2 to 4,5 years,26 to 30,External,no change,Collision
5990,Pontiac,Male,Married,28,Sedan - Liability,Sport,"20,000 to 29,000",9,400,3,2 to 4,6 years,31 to 35,External,no change,Liability
5991,Pontiac,Male,Married,37,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,2,none,7 years,36 to 40,External,no change,Collision
5992,Honda,Male,Single,40,Sedan - All Perils,Sedan,"20,000 to 29,000",10,400,1,1,7 years,36 to 40,External,no change,All Perils
5993,Honda,Female,Married,33,Sedan - Collision,Sedan,"30,000 to 39,000",5,400,2,none,6 years,31 to 35,External,no change,Collision
5994,Chevrolet,Male,Married,34,Sedan - Liability,Sport,"30,000 to 39,000",13,400,2,2 to 4,7 years,31 to 35,External,no change,Liability
5995,Chevrolet,Male,Single,25,Sedan - Liability,Sport,"20,000 to 29,000",14,400,1,1,5 years,26 to 30,External,no change,Liability
5996,Honda,Male,Married,47,Sedan - All Perils,Sedan,"20,000 to 29,000",4,400,1,none,7 years,41 to 50,External,no change,All Perils
5997,Honda,Male,Married,47,Sedan - Liability,Sport,"more than 69,000",13,400,1,2 to 4,more than 7,41 to 50,External,no change,Liability
5998,Toyota,Male,Married,34,Sedan - All Perils,Sedan,"less than 20,000",4,400,3,none,7 years,31 to 35,External,no change,All Perils
5999,Toyota,Male,Married,43,Sedan - Liability,Sport,"30,000 to 39,000",1,400,1,more than 4,7 years,36 to 40,External,no change,Liability
6000,Mazda,Male,Single,30,Sedan - Liability,Sport,"20,000 to 29,000",14,400,1,more than 4,6 years,31 to 35,External,no change,Liability
6001,Toyota,Male,Married,55,Sedan - All Perils,Sedan,"more than 69,000",5,400,3,2 to 4,more than 7,41 to 50,External,no change,All Perils
6002,Toyota,Male,Married,29,Sedan - All Perils,Sedan,"20,000 to 29,000",5,400,4,1,6 years,31 to 35,External,no change,All Perils
6003,Chevrolet,Male,Married,51,Sedan - Collision,Sedan,"30,000 to 39,000",7,400,4,1,more than 7,41 to 50,External,no change,Collision
6004,Toyota,Male,Married,44,Sedan - Collision,Sedan,"20,000 to 29,000",11,400,2,1,7 years,36 to 40,External,no change,Collision
6005,Pontiac,Male,Married,75,Sedan - Collision,Sedan,"40,000 to 59,000",16,400,3,more than 4,more than 7,over 65,External,no change,Collision
6006,Pontiac,Female,Single,40,Sedan - Liability,Sport,"20,000 to 29,000",5,400,4,2 to 4,6 years,36 to 40,External,no change,Liability
6007,Mazda,Male,Single,24,Sedan - Collision,Sedan,"30,000 to 39,000",16,400,3,2 to 4,5 years,26 to 30,External,1 year,Collision
6008,Mazda,Male,Married,42,Sedan - All Perils,Sedan,"20,000 to 29,000",14,400,4,1,7 years,36 to 40,External,no change,All Perils
6009,Honda,Male,Married,52,Sedan - Collision,Sedan,"30,000 to 39,000",13,400,1,2 to 4,7 years,41 to 50,External,no change,Collision
6010,Honda,Male,Married,27,Sedan - Liability,Sport,"20,000 to 29,000",8,400,3,none,7 years,31 to 35,External,no change,Liability
6011,Ford,Male,Married,51,Sedan - Liability,Sport,"30,000 to 39,000",10,400,4,2 to 4,7 years,41 to 50,External,no change,Liability
6012,Pontiac,Male,Married,51,Sedan - Liability,Sport,"20,000 to 29,000",3,400,2,1,6 years,41 to 50,External,no change,Liability
6013,Mazda,Female,Married,41,Sedan - Collision,Sedan,"20,000 to 29,000",13,400,4,2 to 4,7 years,36 to 40,External,no change,Collision
6014,Mazda,Male,Single,34,Sedan - Collision,Sedan,"20,000 to 29,000",15,400,2,none,6 years,31 to 35,External,no change,Collision
